station,yyyy,mm,af,rain,sun,tmax,tmin
cardiff,1989,12,2,155.2,25.9,8.8,3.3
cardiff,1990,1,6,162.2,50.7,10.3,4.0
cardiff,1990,2,0,180.6,84.4,11.0,5.6
cardiff,1990,3,5,23.9,145.0,12.7,5.1
cardiff,1990,4,5,25.1,226.9,14.1,3.8
cardiff,1990,5,0,13.8,270.0,19.9,9.1
cardiff,1990,6,0,94.6,117.9,18.0,10.8
cardiff,1990,7,0,58.4,297.1,23.7,12.8
cardiff,1990,8,0,53.9,210.8,23.5,13.4
cardiff,1990,9,0,71.0,199.8,18.6,8.9
cardiff,1990,10,0,129.4,95.9,16.1,9.6
cardiff,1990,11,3,89.2,93.2,10.5,4.2
cardiff,1990,12,8,98.3,55.6,8.1,2.3
cardiff,1991,1,8,128.5,65.1,7.0,1.7
cardiff,1991,2,18,75.5,76.4,6.0,0.8
cardiff,1991,3,3,100.7,93.1,12.0,5.5
cardiff,1991,4,0,95.7,162.7,12.7,5.2
cardiff,1991,5,0,3.5,157.7,16.7,8.2
cardiff,1991,6,0,126.0,152.1,16.4,9.4
cardiff,1991,7,0,83.3,173.7,21.1,13.8
cardiff,1991,8,0,30.4,212.3,22.2,13.3
cardiff,1991,9,0,66.8,181.0,20.1,10.8
cardiff,1991,10,0,121.2,86.4,13.6,7.2
cardiff,1991,11,8,118.2,49.8,10.6,3.8
cardiff,1991,12,5,49.0,38.0,8.0,3.1
cardiff,1992,1,13,41.0,38.0,6.7,1.8
cardiff,1992,2,8,46.4,54.0,9.2,2.6
cardiff,1992,3,1,76.5,82.9,11.3,4.9
cardiff,1992,4,2,83.2,127.8,13.0,5.7
cardiff,1992,5,0,49.0,245.5,19.3,9.5
cardiff,1992,6,0,20.7,238.9,22.3,11.1
cardiff,1992,7,0,90.3,162.7,20.9,13.4
cardiff,1992,8,0,184.8,151.3,19.4,12.4
cardiff,1992,9,0,109.9,113.9,17.3,10.6
cardiff,1992,10,6,63.2,99.2,12.0,4.6
cardiff,1992,11,1,220.0,45.9,11.3,4.4
cardiff,1992,12,11,71.6,47.5,7.3,2.1
cardiff,1993,1,5,181.8,35.5,10.1,3.6
cardiff,1993,2,4,15.3,51.1,8.2,3.0
cardiff,1993,3,6,26.4,111.3,10.9,3.6
cardiff,1993,4,1,89.7,105.5,13.5,6.9
cardiff,1993,5,0,62.7,172.7,16.1,8.4
cardiff,1993,6,0,64.9,192.9,20.6,11.5
cardiff,1993,7,0,135.7,181.4,20.0,11.9
cardiff,1993,8,0,40.0,210.3,19.6,11.0
cardiff,1993,9,0,95.3,142.3,17.4,9.1
cardiff,1993,10,3,84.4,128.0,12.5,5.8
cardiff,1993,11,6,95.1,56.7,9.1,2.8
cardiff,1993,12,6,249.5,45.8,9.6,3.6
cardiff,1994,1,6,175.2,71.3,9.0,3.4
cardiff,1994,2,10,140.3,60.0,7.3,1.3
cardiff,1994,3,1,148.3,122.7,11.3,5.4
cardiff,1994,4,3,84.0,188.6,13.0,5.1
cardiff,1994,5,0,87.2,141.4,15.5,8.4
cardiff,1994,6,0,45.8,212.6,19.3,10.7
cardiff,1994,7,0,44.5,226.2,23.1,13.6
cardiff,1994,8,0,68.0,180.7,20.5,12.5
cardiff,1994,9,0,87.8,122.9,16.9,10.0
cardiff,1994,10,0,139.7,139.0,14.8,6.7
cardiff,1994,11,0,146.0,28.4,13.3,8.6
cardiff,1994,12,5,199.7,43.9,10.6,4.6
cardiff,1995,1,5,211.3,40.8,8.9,2.9
cardiff,1995,2,1,138.7,50.6,10.5,4.5
cardiff,1995,3,8,67.4,157.6,10.7,2.1
cardiff,1995,4,3,27.9,174.9,14.3,6.0
cardiff,1995,5,0,86.2,233.4,17.3,7.3
cardiff,1995,6,0,8.9,246.0,20.3,10.8
cardiff,1995,7,0,44.2,221.7,23.4,14.3
cardiff,1995,8,0,9.2,305.4,26.0,14.5
cardiff,1995,9,0,122.4,168.3,18.4,10.0
cardiff,1995,10,0,106.2,124.0,17.0,10.5
cardiff,1995,11,4,117.1,83.8,12.0,5.0
cardiff,1995,12,12,125.3,42.6,5.8,1.0
cardiff,1996,1,6,68.4,22.0,6.9,3.4
cardiff,1996,2,18,90.8,112.2,6.9,0.3
cardiff,1996,3,4,59.9,63.6,8.8,2.9
cardiff,1996,4,1,70.2,,13.8,5.1
cardiff,1996,5,0,97.6,,14.4,6.0
cardiff,1996,6,0,18.7,,20.7,9.9
cardiff,1996,7,0,49.1,,22.1,12.6
cardiff,1996,8,0,136.7,,22.0,12.4
cardiff,1996,9,0,53.5,,18.9,10.6
cardiff,1996,10,0,152.6,,15.5,8.9
cardiff,1996,11,12,156.2,,10.3,3.0
cardiff,1996,12,12,52.5,,6.8,1.4
cardiff,1997,1,15,15.5,,5.8,0.1
cardiff,1997,2,4,181.2,,10.6,3.9
cardiff,1997,3,0,42.3,,12.2,5.0
cardiff,1997,4,0,34.0,,15.1,4.9
cardiff,1997,5,0,97.9,,17.2,7.8
cardiff,1997,6,0,100.2,,18.9,11.6
cardiff,1997,7,0,42.6,,22.1,12.5
cardiff,1997,8,0,251.0,,23.3,15.5
cardiff,1997,9,0,69.9,,19.0,10.9
cardiff,1997,10,3,84.9,,15.1,7.3
cardiff,1997,11,2,163.4,,12.4,6.1
cardiff,1997,12,8,150.0,,9.9,3.3
cardiff,1998,1,9,154.9,,8.8,2.7
cardiff,1998,2,5,22.0,,11.6,3.3
cardiff,1998,3,1,168.2,,12.3,5.8
cardiff,1998,4,1,129.6,,12.2,5.5
cardiff,1998,5,0,45.5,,19.2,10.4
cardiff,1998,6,0,157.8,,18.1,12.0
cardiff,1998,7,0,66.9,,19.8,12.3
cardiff,1998,8,0,59.1,,20.9,12.4
cardiff,1998,9,0,118.5,,19.1,11.5
cardiff,1998,10,0,228.8,,14.6,7.8
cardiff,1998,11,7,118.7,,10.6,3.4
cardiff,1998,12,9,130.7,,9.6,1.9
cardiff,1999,1,6,208.3,,10.2,2.3
cardiff,1999,2,7,64.1,,9.1,2.8
cardiff,1999,3,3,70.2,,11.8,3.6
cardiff,1999,4,5,109.0,,13.8,5.7
cardiff,1999,5,0,75.2,,17.5,9.5
cardiff,1999,6,0,71.0,,19.1,8.9
cardiff,1999,7,0,12.9,,23.1,13.0
cardiff,1999,8,0,204.0,,21.3,12.7
cardiff,1999,9,0,176.4,,20.2,10.9
cardiff,1999,10,0,90.3,,15.2,7.3
cardiff,1999,11,1,60.5,,11.8,4.5
cardiff,1999,12,9,231.0,,9.3,2.2
cardiff,2000,1,15,47.8,,8.5,1.2
cardiff,2000,2,6,168.4,,10.4,3.0
cardiff,2000,3,3,59.5,,11.8,4.1
cardiff,2000,4,1,155.4,,12.3,4.5
cardiff,2000,5,0,95.1,,17.2,8.1
cardiff,2000,6,0,37.1,,20.2,11.2
cardiff,2000,7,0,74.5,,20.8,12.4
cardiff,2000,8,0,73.9,,21.9,13.0
cardiff,2000,9,0,156.8,,19.3,11.4
cardiff,2000,10,0,267.6,,15.0,7.1
cardiff,2000,11,4,180.4,,11.1,3.2
cardiff,2000,12,6,187.7,,9.9,4.6
cardiff,2001,1,5,84.0,,7.8,1.8
cardiff,2001,2,13,96.5,,10.1,1.7
cardiff,2001,3,7,147.5,,9.5,2.8
cardiff,2001,4,2,119.1,,12.9,4.5
cardiff,2001,5,0,31.6,,18.1,8.7
cardiff,2001,6,0,34.8,,20.2,10.2
cardiff,2001,7,0,144.6,,21.6,13.1
cardiff,2001,8,0,134.3,,21.1,13.6
cardiff,2001,9,0,36.5,,18.5,10.5
cardiff,2001,10,0,183.4,,17.2,11.0
cardiff,2001,11,5,86.6,,12.2,4.0
cardiff,2001,12,12,36.1,,8.4,1.3
cardiff,2002,1,2,142.0,,9.8,3.7
cardiff,2002,2,3,187.6,,11.1,4.6
cardiff,2002,3,2,65.1,,12.5,5.0
cardiff,2002,4,1,84.7,,14.6,5.6
cardiff,2002,5,0,129.8,,16.5,8.5
cardiff,2002,6,0,66.0,,18.4,10.6
cardiff,2002,7,0,65.9,,20.5,12.5
cardiff,2002,8,0,55.9,,21.7,12.9
cardiff,2002,9,0,30.5,,19.6,10.7
cardiff,2002,10,2,217.1,,14.7,7.1
cardiff,2002,11,0,175.6,,12.8,7.1
cardiff,2002,12,0,151.1,,8.9,4.6
cardiff,2003,1,11,90.6,,8.6,2.3
cardiff,2003,2,8,39.9,,8.7,1.9
cardiff,2003,3,2,47.1,,13.6,4.5
cardiff,2003,4,1,70.3,,16.2,6.2
cardiff,2003,5,0,93.0,,16.7,8.4
cardiff,2003,6,0,68.4,,21.3,11.7
cardiff,2003,7,0,93.9,,22.0,13.8
cardiff,2003,8,0,16.2,,24.5,14.7
cardiff,2003,9,0,23.1,,20.5,9.5
cardiff,2003,10,7,65.4,,14.4,5.7
cardiff,2003,11,3,105.3,,12.5,6.0
cardiff,2003,12,5,138.1,,9.6,3.1
cardiff,2004,1,7,162.2,,9.4,3.0
cardiff,2004,2,9,67.3,,9.6,2.9
cardiff,2004,3,3,85.6,,11.4,3.8
cardiff,2004,4,1,73.8,,14.7,6.3
cardiff,2004,5,0,40.0,,18.3,8.8
cardiff,2004,6,0,65.9,,21.2,12.3
cardiff,2004,7,0,82.5,,20.7,12.6
cardiff,2004,8,0,141.7,,22.3,13.7
cardiff,2004,9,0,107.4,,19.5,11.6
cardiff,2004,10,0,182.5,,15.0,8.3
cardiff,2004,11,0,65.6,,12.0,6.0
cardiff,2004,12,9,84.5,,9.7,3.5
cardiff,2005,1,4,75.0,,10.4,3.9
cardiff,2005,2,5,49.5,,8.8,2.4
cardiff,2005,3,8,65.2,,11.6,4.8
cardiff,2005,4,2,87.6,,14.7,6.6
cardiff,2005,5,0,51.6,,17.2,8.3
cardiff,2005,6,0,76.6,,20.6,12.2
cardiff,2005,7,0,69.9,,22.2,13.9
cardiff,2005,8,0,55.6,,21.9,11.6
cardiff,2005,9,0,82.8,,20.4,11.6
cardiff,2005,10,0,160.0,,16.6,11.4
cardiff,2005,11,11,106.1,,10.9,3.0
cardiff,2005,12,5,114.7,,9.3,2.4
cardiff,2006,1,4,36.0,,8.0,2.9
cardiff,2006,2,6,59.0,,7.7,2.3
cardiff,2006,3,5,121.8,,9.5,3.5
cardiff,2006,4,3,35.1,,14.1,6.2
cardiff,2006,5,0,159.2,,17.0,8.9
cardiff,2006,6,0,47.4,,21.9,11.8
cardiff,2006,7,0,65.6,,25.5,14.5
cardiff,2006,8,0,58.9,,21.1,13.2
cardiff,2006,9,0,43.4,,21.3,12.7
cardiff,2006,10,0,178.1,,16.8,8.8
cardiff,2006,11,5,178.1,,12.5,3.6
cardiff,2006,12,5,147.1,,10.1,3.9
cardiff,2007,1,2,178.9,,10.5,4.2
cardiff,2007,2,7,152.3,,10.0,3.7
cardiff,2007,3,1,89.5,,12.6,4.3
cardiff,2007,4,0,21.8,,18.4,7.0
cardiff,2007,5,0,128.5,,17.4,8.7
cardiff,2007,6,0,104.7,,20.1,12.1
cardiff,2007,7,0,173.8,,19.3,12.6
cardiff,2007,8,0,71.3,,21.1,11.7
cardiff,2007,9,0,53.1,,18.5,10.2
cardiff,2007,10,0,57.0,,14.9,6.7
cardiff,2007,11,3,88.4,,12.0,4.9
cardiff,2007,12,9,171.5,,9.0,2.9
cardiff,2008,1,1,170.6,,10.6,4.4
cardiff,2008,2,7,44.5,,10.2,2.4
cardiff,2008,3,2,98.7,,10.8,3.9
cardiff,2008,4,5,59.9,,13.9,4.7
cardiff,2008,5,0,95.3,,19.4,9.9
cardiff,2008,6,0,63.8,,19.7,10.5
cardiff,2008,7,0,138.4,,21.2,12.6
cardiff,2008,8,0,170.2,,20.3,13.1
cardiff,2008,9,0,197.8,,18.8,10.1
cardiff,2008,10,3,113.0,,15.2,6.1
cardiff,2008,11,1,93.3,,11.5,5.8
cardiff,2008,12,18,64.6,,7.0,0.6
cardiff,2009,1,17,153.5,,6.6,0.4
cardiff,2009,2,12,43.6,,7.7,1.9
cardiff,2009,3,4,51.8,,11.0,2.6
cardiff,2009,4,1,53.5,,13.9,5.9
cardiff,2009,5,0,68.0,,17.1,8.5
cardiff,2009,6,0,114.8,,21.0,11.5
cardiff,2009,7,0,194.1,,20.2,13.1
cardiff,2009,8,0,76.0,,20.7,13.0
cardiff,2009,9,0,34.7,,19.1,10.6
cardiff,2009,10,0,73.6,,16.3,8.6
cardiff,2009,11,0,220.4,,12.6,6.5
cardiff,2009,12,15,114.9,,7.2,0.4
cardiff,2010,1,15,73.5,,5.7,1.1
cardiff,2010,2,7,72.1,,7.3,0.8
cardiff,2010,3,10,72.6,,10.8,2.8
cardiff,2010,4,0,28.7,,15.1,5.0
cardiff,2010,5,1,28.5,,17.1,7.5
cardiff,2010,6,0,21.9,,21.9,11.1
cardiff,2010,7,0,88.0,,22.0,13.7
cardiff,2010,8,0,144.6,,20.6,12.0
cardiff,2010,9,0,94.8,,18.6,10.2
cardiff,2010,10,2,82.8,,14.8,7.4
cardiff,2010,11,8,101.0,,9.4,2.7
cardiff,2010,12,24,39.8,,3.9,3.4
cardiff,2011,1,11,122.2,,7.3,1.6
cardiff,2011,2,3,80.4,,10.2,4.7
cardiff,2011,3,5,22.6,,12.0,3.8
cardiff,2011,4,0,5.1,,18.2,8.0
cardiff,2011,5,0,56.7,,16.8,9.0
cardiff,2011,6,0,88.9,,18.7,10.3
cardiff,2011,7,0,80.6,,20.7,11.8
cardiff,2011,8,0,64.4,,19.9,12.0
cardiff,2011,9,0,97.8,,19.4,12.1
cardiff,2011,10,0,81.6,,16.9,9.9
cardiff,2011,11,0,84.0,,13.4,7.7
cardiff,2011,12,5,145.2,,10.2,3.7
cardiff,2012,1,7,140.4,,9.6,3.8
cardiff,2012,2,11,35.8,,8.5,1.7
cardiff,2012,3,2,27.2,,13.9,4.6
cardiff,2012,4,1,160.0,,12.5,4.4
cardiff,2012,5,0,66.8,,17.4,8.5
cardiff,2012,6,0,180.8,,17.9,11.6
cardiff,2012,7,0,123.2,,20.1,11.9
cardiff,2012,8,0,117.4,,20.9,13.8
cardiff,2012,9,0,94.6,,17.9,9.2
cardiff,2012,10,1,158.2,,13.9,7.0
cardiff,2012,11,4,162.6,,10.9,4.0
cardiff,2012,12,12,229.4,,9.4,2.5
cardiff,2013,1,10,145.0,,7.3,2.4
cardiff,2013,2,6,56.6,,7.0,1.3
cardiff,2013,3,13,107.0,,7.1,1.1
cardiff,2013,4,3,46.2,,12.1,4.1
cardiff,2013,5,0,89.2,,16.0,6.8
cardiff,2013,6,0,39.2,,19.1,10.9
cardiff,2013,7,0,25.9,,25.0,14.5
cardiff,2013,8,0,74.2,,22.0,12.9
cardiff,2013,9,0,68.2,,18.7,10.9
cardiff,2013,10,0,230.6,,16.7,10.2
cardiff,2013,11,6,93.8,,10.8,3.1
cardiff,2013,12,4,159.6,,10.6,3.3
cardiff,2014,1,5,234.6,,9.6,3.2
cardiff,2014,2,1,161.4,,10.1,4.1
cardiff,2014,3,3,61.6,,12.3,3.8
cardiff,2014,4,0,100.0,,15.1,6.9
cardiff,2014,5,0,135.6,,17.1,9.1
cardiff,2014,6,0,76.8,,21.3,12.1
cardiff,2014,7,0,39.8,,23.6,13.7
cardiff,2014,8,0,185.1,,19.9,11.4
cardiff,2014,9,0,14.2,,20.7,11.5
cardiff,2014,10,0,122.6,,16.4,10.1
cardiff,2014,11,2,155.8,,12.4,6.3
cardiff,2014,12,11,109.8,,9.6,2.1
cardiff,2015,1,8,158.2,,9.0,2.2
cardiff,2015,2,9,124.2,,8.3,1.3
cardiff,2015,3,3,55.8,,11.0,3.5
cardiff,2015,4,0,9.8,,16.1,6.0
cardiff,2015,5,0,155.6,,15.9,7.9
cardiff,2015,6,0,50.4,,19.6,10.8
cardiff,2015,7,0,107.6,,20.2,12.4
cardiff,2015,8,0,129.0,,20.3,12.3
cardiff,2015,9,0,57.0,,18.3,9.1
cardiff,2015,10,0,47.4,,15.6,8.2
cardiff,2015,11,3,223.8,,13.3,7.7
cardiff,2015,12,0,191.4,,13.2,8.7
cardiff,2016,1,7,221.0,,9.6,2.9
cardiff,2016,2,10,129.2,,9.4,2.2
cardiff,2016,3,7,96.0,,10.7,2.5
cardiff,2016,4,2,46.6,,13.2,4.7
cardiff,2016,5,0,109.6,,18.5,9.0
cardiff,2016,6,0,109.8,,19.9,12.7
cardiff,2016,7,0,25.2,,21.3,13.4
cardiff,2016,8,0,95.2,,21.6,13.2
cardiff,2016,9,0,109.0,,20.1,13.0
cardiff,2016,10,0,41.8,,15.0,7.8
cardiff,2016,11,4,152.2,,10.3,3.5
cardiff,2016,12,7,56.2,,9.6,3.0
cardiff,2017,1,11,76.0,,8.3,2.0
cardiff,2017,2,4,81.0,,9.4,4.2
cardiff,2017,3,1,114.6,,12.6,5.7
cardiff,2017,4,2,14.2,,15.0,4.9
cardiff,2017,5,0,76.2,,18.5,9.9
cardiff,2017,6,0,84.8,,20.9,12.6
cardiff,2017,7,0,116.8,,21.4,13.1
cardiff,2017,8,0,69.4,,20.5,12.2
cardiff,2017,9,0,102.8,,18.3,10.2
cardiff,2017,10,0,49.6,,16.4,10.1
cardiff,2017,11,5,82.2,,11.8,3.5
cardiff,2017,12,11,152.9,,9.3,2.8
cardiff,2018,1,9,153.2,,9.4,2.7
cardiff,2018,2,14,50.0,,7.5,0.8
cardiff,2018,3,6,163.4,,9.1,2.5
cardiff,2018,4,0,129.4,,14.0,7.2
cardiff,2018,5,0,56.2,,19.0,8.8
cardiff,2018,6,0,8.4,,22.6,12.7
cardiff,2018,7,0,46.0,,25.4,14.7
cardiff,2018,8,0,129.8,,21.4,13.1
cardiff,2018,9,0,89.8,,18.7,10.1
cardiff,2018,10,3,48.0,,15.6,6.9
cardiff,2018,11,1,121.0,,11.9,5.9
cardiff,2018,12,1,196.4,,10.6,5.5
cardiff,2019,1,14,43.4,,8.1,1.8
cardiff,2019,2,8,77.4,,12.2,2.4
cardiff,2019,3,0,139.6,,12.7,5.2
cardiff,2019,4,1,84.4,,15.0,6.3
cardiff,2019,5,0,37.0,,17.6,7.2
cardiff,2019,6,0,84.6,,19.2,11.5
cardiff,2019,7,0,83.6,,23.7,13.9
cardiff,2019,8,0,137.4,,21.9,13.7
cardiff,2019,9,0,159.8,,19.5,11.3
cardiff,2019,10,0,235.8,,14.9,7.5
cardiff,2019,11,2,158.2,,10.3,4.7
cardiff,2019,12,6,162.1,,10.0,3.8
cardiff,2020,1,5,107.9,,10.1,4.5
cardiff,2020,2,2,201.4,,10.6,4.3
cardiff,2020,3,2,104.0,,11.7,3.9
cardiff,2020,4,1,42.0,,17.5,6.6
cardiff,2020,5,0,15.4,,19.4,8.2
cardiff,2020,6,0,147.4,,20.6,11.9
chivenor,1951,1,,106.2,48.2,7.9,3.9
chivenor,1951,2,,96.3,105.2,8.3,2.8
chivenor,1951,3,,102.1,104.9,8.6,3.5
chivenor,1951,4,,94.2,225.1,11.4,4.2
chivenor,1951,5,,59.9,198.7,14.1,7.0
chivenor,1951,6,,21.8,255.3,18.6,10.7
chivenor,1951,7,,39.1,261.5,20.2,12.2
chivenor,1951,8,,118.4,182.1,18.4,12.3
chivenor,1951,9,,68.6,87.6,18.0,12.6
chivenor,1951,10,,38.6,133.2,15.3,7.9
chivenor,1951,11,,102.1,80.8,12.1,7.7
chivenor,1951,12,,90.9,60.8,9.9,6.1
chivenor,1952,1,,94.7,76.5,7.5,3.4
chivenor,1952,2,,32.0,108.4,8.3,2.6
chivenor,1952,3,,66.8,113.0,10.8,5.9
chivenor,1952,4,,108.2,185.1,13.9,6.2
chivenor,1952,5,,75.7,221.7,17.3,9.4
chivenor,1952,6,,41.1,205.1,18.1,10.9
chivenor,1952,7,,24.4,193.0,20.9,13.6
chivenor,1952,8,,138.7,191.6,20.3,13.2
chivenor,1952,9,,100.1,163.3,15.9,9.3
chivenor,1952,10,,108.2,119.1,13.9,8.1
chivenor,1952,11,,122.2,71.3,8.7,4.8
chivenor,1952,12,,109.7,66.6,8.1,3.6
chivenor,1953,1,,27.9,52.7,7.7,2.7
chivenor,1953,2,,41.7,90.9,8.3,2.8
chivenor,1953,3,,31.0,188.7,12.6,2.2
chivenor,1953,4,,51.1,214.8,12.8,4.9
chivenor,1953,5,,71.9,227.1,17.2,8.7
chivenor,1953,6,,29.0,219.4,18.4,10.6
chivenor,1953,7,,140.0,220.6,19.4,13.2
chivenor,1953,8,,87.4,227.3,20.3,13.1
chivenor,1953,9,,111.5,151.0,17.8,11.4
chivenor,1953,10,,50.8,150.7,15.7,7.8
chivenor,1953,11,,71.9,59.5,12.4,7.8
chivenor,1953,12,,31.2,52.2,11.6,7.2
chivenor,1954,1,,55.6,69.7,7.4,3.5
chivenor,1954,2,,105.2,83.8,7.9,2.4
chivenor,1954,3,,64.3,127.1,10.6,4.9
chivenor,1954,4,,16.8,264.8,13.1,4.1
chivenor,1954,5,,59.9,199.2,15.4,8.2
chivenor,1954,6,,66.5,181.2,17.1,10.9
chivenor,1954,7,,110.0,130.9,16.7,12.3
chivenor,1954,8,,73.7,155.1,18.2,12.4
chivenor,1954,9,,97.5,162.6,17.3,11.3
chivenor,1954,10,,100.1,76.8,15.8,10.8
chivenor,1954,11,,172.2,44.7,12.0,6.1
chivenor,1954,12,,96.0,52.2,10.2,6.8
chivenor,1955,1,,112.3,50.4,7.6,3.4
chivenor,1955,2,,73.2,91.0,5.8,0.2
chivenor,1955,3,,26.7,192.1,8.4,0.7
chivenor,1955,4,,50.8,191.8,14.0,6.0
chivenor,1955,5,,99.6,244.6,14.7,7.4
chivenor,1955,6,,82.3,165.3,17.9,11.6
chivenor,1955,7,,20.1,321.4,23.1,12.8
chivenor,1955,8,,6.6,254.1,24.3,13.9
chivenor,1955,9,,49.5,177.3,19.3,11.5
chivenor,1955,10,,52.6,128.6,14.4,7.7
chivenor,1955,11,,54.9,101.2,11.7,5.0
chivenor,1955,12,,135.4,34.0,10.7,6.4
chivenor,1956,1,,98.0,59.4,8.7,4.1
chivenor,1956,2,,13.2,112.6,4.1,1.6
chivenor,1956,3,,18.8,176.1,11.5,4.0
chivenor,1956,4,,41.7,225.4,12.6,3.6
chivenor,1956,5,,20.8,283.5,16.5,7.9
chivenor,1956,6,,44.2,232.8,17.4,10.1
chivenor,1956,7,,116.1,185.7,19.6,12.8
chivenor,1956,8,,76.2,205.0,17.9,11.7
chivenor,1956,9,,126.0,93.4,18.1,12.9
chivenor,1956,10,,62.0,122.3,14.7,8.4
chivenor,1956,11,,37.6,65.5,10.5,5.9
chivenor,1956,12,,93.0,23.3,9.8,6.2
chivenor,1957,1,,64.8,53.9,9.2,5.2
chivenor,1957,2,,128.5,89.9,10.0,4.8
chivenor,1957,3,,76.7,117.3,13.7,8.3
chivenor,1957,4,,5.1,212.9,14.3,6.6
chivenor,1957,5,,52.6,255.0,15.9,7.6
chivenor,1957,6,,40.6,336.8,21.1,10.5
chivenor,1957,7,,79.2,174.4,20.2,13.8
chivenor,1957,8,,80.5,163.7,19.4,13.1
chivenor,1957,9,,115.3,135.9,17.1,11.7
chivenor,1957,10,,108.7,93.9,15.8,9.8
chivenor,1957,11,,49.3,65.1,10.0,5.6
chivenor,1957,12,,49.0,60.4,8.9,4.1
chivenor,1958,1,,66.8,46.8,7.9,3.6
chivenor,1958,2,,100.3,45.8,9.7,5.9
chivenor,1958,3,,22.6,126.3,8.6,2.8
chivenor,1958,4,,21.3,160.4,12.0,4.7
chivenor,1958,5,,71.9,212.0,15.5,8.3
chivenor,1958,6,,100.3,206.9,17.4,10.8
chivenor,1958,7,,55.4,167.1,19.4,12.8
chivenor,1958,8,,128.3,110.1,19.1,13.6
chivenor,1958,9,,132.1,149.5,19.8,13.1
chivenor,1958,10,,108.7,108.1,14.9,9.9
chivenor,1958,11,,99.8,53.3,11.0,6.3
chivenor,1958,12,,105.2,48.0,9.2,4.4
chivenor,1959,1,,,93.1,,
chivenor,1959,2,,,98.6,,
chivenor,1959,3,,,120.0,,
chivenor,1959,4,,,177.4,,
chivenor,1959,5,,,264.7,,
chivenor,1959,6,,,283.1,,
chivenor,1959,7,,,263.7,,
chivenor,1959,8,,,226.9,,
chivenor,1959,9,,,254.7,,
chivenor,1959,10,,,121.6,,
chivenor,1959,11,,,56.5,,
chivenor,1959,12,,,32.2,,
chivenor,1960,1,,,51.2,,
chivenor,1960,2,,,99.0,,
chivenor,1960,3,,,102.2,,
chivenor,1960,4,,,220.9,,
chivenor,1960,5,,,191.7,,
chivenor,1960,6,,,289.8,,
chivenor,1960,7,,,186.6,,
chivenor,1960,8,,,189.0,,
chivenor,1960,9,,,132.9,,
chivenor,1960,10,,,86.5,,
chivenor,1960,11,,,75.8,,
chivenor,1960,12,,,66.5,,
chivenor,1961,1,,121.9,39.6,,
chivenor,1961,2,,50.7,60.8,,
chivenor,1961,3,,10.0,139.6,,
chivenor,1961,4,,125.8,117.8,,
chivenor,1961,5,,23.7,290.5,,
chivenor,1961,6,,24.3,257.8,,
chivenor,1961,7,,46.5,212.9,,
chivenor,1961,8,,86.7,194.6,,
chivenor,1961,9,,69.0,144.7,,
chivenor,1961,10,,186.6,100.0,,
chivenor,1961,11,,54.1,65.3,,
chivenor,1961,12,,90.2,75.1,,
chivenor,1962,1,,113.7,56.0,,
chivenor,1962,2,,25.6,83.6,,
chivenor,1962,3,,58.3,152.8,,
chivenor,1962,4,,57.5,188.2,,
chivenor,1962,5,,45.9,212.6,,
chivenor,1962,6,,22.6,301.7,,
chivenor,1962,7,,45.6,193.9,,
chivenor,1962,8,,60.0,167.5,,
chivenor,1962,9,,77.3,135.0,,
chivenor,1962,10,,19.8,144.2,,
chivenor,1962,11,,55.4,53.2,,
chivenor,1962,12,,48.9,67.2,,
chivenor,1963,1,,17.1,103.9,,
chivenor,1963,2,,33.8,94.5,,
chivenor,1963,3,,96.0,119.3,,
chivenor,1963,4,,77.7,153.2,,
chivenor,1963,5,,28.8,200.5,,
chivenor,1963,6,,54.6,202.8,,
chivenor,1963,7,,86.3,189.3,,
chivenor,1963,8,,107.8,138.4,,
chivenor,1963,9,,36.4,150.3,,
chivenor,1963,10,,41.7,75.7,,
chivenor,1963,11,,192.6,63.0,,
chivenor,1963,12,,25.5,59.4,,
chivenor,1964,1,,17.9,51.2,,
chivenor,1964,2,,31.8,69.1,,
chivenor,1964,3,,47.7,103.3,,
chivenor,1964,4,,34.5,148.9,,
chivenor,1964,5,,66.8,179.0,,
chivenor,1964,6,,37.0,176.0,,
chivenor,1964,7,,39.9,195.5,,
chivenor,1964,8,,39.2,192.4,,
chivenor,1964,9,,36.7,180.3,,
chivenor,1964,10,,91.4,113.8,,
chivenor,1964,11,,62.7,73.0,,
chivenor,1964,12,,68.2,56.9,,
chivenor,1965,1,,106.9,58.9,,
chivenor,1965,2,,2.4,55.0,,
chivenor,1965,3,,64.8,150.7,,
chivenor,1965,4,,55.3,189.2,,
chivenor,1965,5,,51.5,181.3,,
chivenor,1965,6,,61.0,193.3,,
chivenor,1965,7,,123.5,175.2,,
chivenor,1965,8,,66.7,188.8,,
chivenor,1965,9,,90.8,119.2,,
chivenor,1965,10,,24.7,147.7,,
chivenor,1965,11,,109.2,65.5,,
chivenor,1965,12,,138.0,51.9,,
chivenor,1966,1,,63.6,40.8,,
chivenor,1966,2,,80.7,47.8,,
chivenor,1966,3,,30.4,142.3,,
chivenor,1966,4,,127.1,111.4,,
chivenor,1966,5,,59.8,242.9,,
chivenor,1966,6,,79.3,186.8,,
chivenor,1966,7,,40.4,196.2,,
chivenor,1966,8,,106.7,199.8,,
chivenor,1966,9,,35.5,169.1,,
chivenor,1966,10,,120.1,111.1,,
chivenor,1966,11,,66.2,69.6,,
chivenor,1966,12,,89.4,36.9,,
chivenor,1967,1,,56.4,55.5,,
