                         tmax  tmin    af   rain    sun   asml        lat      long           gridRef
station         yyyy mm                                                                              
aberporth       1941 1    NaN   NaN   NaN   74.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.1  11.2   NaN   62.6  186.8  133.0  52.139000 -4.570000   224100E 252100N
                     8   16.3  11.0   NaN  121.6  159.9  133.0  52.139000 -4.570000   224100E 252100N
                     9   16.3  11.3   NaN  103.1  105.7  133.0  52.139000 -4.570000   224100E 252100N
                     10   NaN   8.2   NaN   40.9  106.8  133.0  52.139000 -4.570000   224100E 252100N
                     11   NaN   7.6   NaN  152.3   47.8  133.0  52.139000 -4.570000   224100E 252100N
                     12   7.2   3.1   NaN  106.6   56.7  133.0  52.139000 -4.570000   224100E 252100N
                1947 1    5.8   1.4   NaN  122.9   78.0  133.0  52.139000 -4.570000   224100E 252100N
                     2    NaN   2.7   NaN   53.9   50.0  133.0  52.139000 -4.570000   224100E 252100N
                     3    NaN   2.2   NaN  191.1   80.3  133.0  52.139000 -4.570000   224100E 252100N
                     4    NaN   5.1   NaN   85.6  162.1  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.9   8.0   NaN   99.1  201.2  133.0  52.139000 -4.570000   224100E 252100N
                     6   17.0  10.4   NaN   67.4  161.5  133.0  52.139000 -4.570000   224100E 252100N
                     7   17.4  11.7   NaN   52.8  158.9  133.0  52.139000 -4.570000   224100E 252100N
                     8   21.4  13.2   NaN   20.2  278.3  133.0  52.139000 -4.570000   224100E 252100N
                     9   17.5  11.4   NaN   69.5  130.1  133.0  52.139000 -4.570000   224100E 252100N
                     10  14.2   8.0   NaN   29.9  136.9  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.1   6.5   NaN  100.1   54.3  133.0  52.139000 -4.570000   224100E 252100N
                     12   7.7   4.9   NaN   92.9   29.7  133.0  52.139000 -4.570000   224100E 252100N
                1948 1    8.2   4.6   NaN  167.5   48.7  133.0  52.139000 -4.570000   224100E 252100N
                     2    7.4   2.9   NaN   56.8   89.6  133.0  52.139000 -4.570000   224100E 252100N
                     3   13.5   5.8   NaN   51.9  188.9  133.0  52.139000 -4.570000   224100E 252100N
                     4   11.4   4.8   NaN   36.4  213.7  133.0  52.139000 -4.570000   224100E 252100N
                     5   14.2   6.7   NaN   44.7  297.5  133.0  52.139000 -4.570000   224100E 252100N
                     6   14.7   9.8   NaN   59.4  145.0  133.0  52.139000 -4.570000   224100E 252100N
                     7   16.9  11.6   NaN  103.1  144.1  133.0  52.139000 -4.570000   224100E 252100N
                     8   17.0  11.8   NaN  102.4  146.7  133.0  52.139000 -4.570000   224100E 252100N
                     9   15.7  11.1   NaN   77.9  111.5  133.0  52.139000 -4.570000   224100E 252100N
                     10  13.3   8.5   NaN   87.4   93.6  133.0  52.139000 -4.570000   224100E 252100N
                     11  11.5   6.9   NaN   95.6   78.6  133.0  52.139000 -4.570000   224100E 252100N
                     12   8.5   4.2   NaN  175.9   87.2  133.0  52.139000 -4.570000   224100E 252100N
                1949 1    8.6   5.0   NaN   44.0   60.0  133.0  52.139000 -4.570000   224100E 252100N
                     2    8.7   4.4   NaN   36.6  105.0  133.0  52.139000 -4.570000   224100E 252100N
                     3    8.7   3.3   NaN   44.4  158.8  133.0  52.139000 -4.570000   224100E 252100N
                     4    NaN   6.7   NaN   74.8  161.9  133.0  52.139000 -4.570000   224100E 252100N
                     5   13.4   6.6   NaN   67.9  247.2  133.0  52.139000 -4.570000   224100E 252100N
                     6   17.4  11.3   NaN   24.6  286.1  133.0  52.139000 -4.570000   224100E 252100N
                     7   19.9  12.5   NaN   45.0  267.5  133.0  52.139000 -4.570000   224100E 252100N
                     8   19.0  12.8   NaN   59.1  202.3  133.0  52.139000 -4.570000   224100E 252100N
                     9   19.5  12.5   NaN   28.3  188.4  133.0  52.139000 -4.570000   224100E 252100N
                     10  15.2   9.9   NaN  181.1   83.8  133.0  52.139000 -4.570000   224100E 252100N
                     11  10.2   6.1   NaN  147.6   63.8  133.0  52.139000 -4.570000   224100E 252100N
                     12   8.7   5.4   NaN  115.3   40.1  133.0  52.139000 -4.570000   224100E 252100N
                1950 1    7.3   3.2   NaN   29.9   66.6  133.0  52.139000 -4.570000   224100E 252100N
                     2    8.3   3.9   NaN  176.7   50.2  133.0  52.139000 -4.570000   224100E 252100N
                     3   10.8   4.8   NaN   57.5  147.7  133.0  52.139000 -4.570000   224100E 252100N
