                         tmax  tmin    af   rain    sun   asml        lat      long           gridRef
station         yyyy mm                                                                              
aberporth       1941 1    NaN   NaN   NaN   74.7    NaN  133.0  52.139000 -4.570000   224100E 252100N
                     4   10.3   3.6   1.0    NaN  154.5  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.4   4.4   2.0    NaN  184.6  156.0  55.181000 -6.153000   317600E 438600N
                     6   13.7   6.3   0.0    NaN  206.4  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.2   9.8   0.0    NaN  115.7  156.0  55.181000 -6.153000   317600E 438600N
                     8   15.1   9.2   0.0    NaN  115.8  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.3   9.2   0.0    NaN   80.2  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.8   6.6   0.0    NaN   98.7  156.0  55.181000 -6.153000   317600E 438600N
                     11   6.8   1.2   8.0    NaN   46.8  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.7   2.5   6.0    NaN   30.6  156.0  55.181000 -6.153000   317600E 438600N
                1986 1    5.5   0.1  15.0    NaN   30.6  156.0  55.181000 -6.153000   317600E 438600N
                     2    2.8   1.4  19.0    NaN   82.3  156.0  55.181000 -6.153000   317600E 438600N
                     3    7.7   0.8   9.0    NaN  120.9  156.0  55.181000 -6.153000   317600E 438600N
                     4    7.5   0.8   9.0    NaN  162.3  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.0   4.9   0.0    NaN  168.6  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.9   8.0   0.0    NaN  178.5  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.0   9.7   0.0    NaN   94.6  156.0  55.181000 -6.153000   317600E 438600N
                     8   13.9   7.8   0.0    NaN  166.2  156.0  55.181000 -6.153000   317600E 438600N
                     9   13.9   6.4   5.0    NaN  162.1  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.4   6.2   0.0    NaN  100.9  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.5   3.2   3.0    NaN   69.6  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.5   1.9   7.0    NaN   26.9  156.0  55.181000 -6.153000   317600E 438600N
                1987 1    5.2   0.6   NaN    NaN   43.7  156.0  55.181000 -6.153000   317600E 438600N
                     2    6.8   0.1   NaN    NaN   74.8  156.0  55.181000 -6.153000   317600E 438600N
                     3    6.7   1.1   NaN    NaN   74.4  156.0  55.181000 -6.153000   317600E 438600N
                     4   11.2   4.7   NaN    NaN   99.6  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.0   5.0   NaN    NaN  201.2  156.0  55.181000 -6.153000   317600E 438600N
                     6   13.2   6.8   NaN    NaN  133.5  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.8  10.3   NaN    NaN   99.5  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.0  10.2   NaN    NaN  123.1  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.5   7.7   NaN    NaN  155.4  156.0  55.181000 -6.153000   317600E 438600N
                     10  10.7   4.7   NaN    NaN  107.6  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.5   4.4   NaN    NaN   46.8  156.0  55.181000 -6.153000   317600E 438600N
                     12   8.2   3.2   NaN    NaN   28.2  156.0  55.181000 -6.153000   317600E 438600N
                1988 1    6.5   1.4   NaN    NaN   51.8  156.0  55.181000 -6.153000   317600E 438600N
                     2    6.3   1.6   NaN    NaN   82.9  156.0  55.181000 -6.153000   317600E 438600N
                     3    7.9   2.3   NaN    NaN   77.8  156.0  55.181000 -6.153000   317600E 438600N
                     4   10.1   4.0   NaN    NaN  145.2  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.5   5.4   NaN    NaN  205.2  156.0  55.181000 -6.153000   317600E 438600N
                     6   16.0   8.5   NaN    NaN  189.9  156.0  55.181000 -6.153000   317600E 438600N
                     7   14.5   9.5   NaN    NaN  118.7  156.0  55.181000 -6.153000   317600E 438600N
                     8   15.5  10.1   NaN    NaN  117.8  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.1   8.8   NaN    NaN  105.3  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.0   6.4   NaN    NaN   85.6  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.6   3.0   NaN   60.6   66.0  156.0  55.181000 -6.153000   317600E 438600N
                     12   9.1   4.5   NaN  102.9   22.9  156.0  55.181000 -6.153000   317600E 438600N
                1989 1    8.7   3.4   NaN   66.8   47.1  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.5   1.9   NaN  115.9   79.5  156.0  55.181000 -6.153000   317600E 438600N
                     3    8.8   2.0   NaN  139.9  111.9  156.0  55.181000 -6.153000   317600E 438600N
                     4    8.2   2.0   NaN  169.9  145.2  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.9   5.5   NaN   36.1  240.9  156.0  55.181000 -6.153000   317600E 438600N
                     6   16.1   7.8   NaN   66.1  204.6  156.0  55.181000 -6.153000   317600E 438600N
                     7   19.9  10.9   NaN   35.8  239.9  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.3  10.5   NaN  107.7  119.7  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.0   8.5   NaN   58.2   96.6  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.5   7.8   NaN  184.5   71.6  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.3   4.5   NaN   74.8   48.9  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.6   1.4   NaN    NaN   36.3  156.0  55.181000 -6.153000   317600E 438600N
                1990 1    7.8   2.6   NaN  158.7   49.0  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.6   2.3   NaN  216.8   58.2  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.8   4.4   NaN   66.3   90.5  156.0  55.181000 -6.153000   317600E 438600N
                     4   10.2   3.0   NaN   86.7  163.2  156.0  55.181000 -6.153000   317600E 438600N
                     5   14.6   6.4   NaN   52.4  225.7  156.0  55.181000 -6.153000   317600E 438600N
                     6   14.4   8.1   NaN  139.8  142.2  156.0  55.181000 -6.153000   317600E 438600N
                     7   18.2  10.3   NaN   86.5  224.4  156.0  55.181000 -6.153000   317600E 438600N
                     8   17.0  11.4   NaN  137.4  107.9  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.1   7.6   NaN  105.7  107.7  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.5   7.9   NaN    NaN   81.5  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.5   3.9   NaN  109.4   69.9  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.8   2.0   NaN  131.5   31.6  156.0  55.181000 -6.153000   317600E 438600N
                1991 1    NaN   NaN   NaN  102.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    NaN   NaN   NaN   58.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    NaN   NaN   NaN   87.9    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    NaN   NaN   NaN  140.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5    NaN   NaN   NaN   14.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6    NaN   NaN   NaN  131.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7    NaN   NaN   NaN  100.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8    NaN   NaN   NaN   50.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9    NaN   NaN   NaN   55.9    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10   NaN   NaN   NaN  155.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   NaN   NaN   NaN  194.3    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   NaN   NaN   NaN  148.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1992 1    NaN   NaN   NaN   96.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    NaN   NaN   NaN   97.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    8.5   3.3   2.0  179.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    9.7   NaN   0.0   56.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   14.2   NaN   0.0   66.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6    NaN   NaN   0.0   40.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.7   NaN   0.0  108.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   15.7   9.7   0.0  111.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   13.5   7.7   0.0   90.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10   9.3   4.6   0.0  116.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.5   3.6   1.0  173.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.3   2.1   8.0  102.1    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1993 1    NaN   NaN   NaN  152.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.8   4.3   2.0   39.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    8.6   3.1   4.0   72.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   10.7   5.0   0.0  119.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.6   6.0   0.0  204.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.1   9.1   0.0   67.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   15.1   9.5   0.0  131.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   15.1   9.3   0.0   65.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.1   7.9   0.0   94.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  10.0   4.5   3.0   47.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   7.9   3.2   6.0   76.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.2   1.6   6.0  249.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1994 1    6.6   1.7   4.0  194.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    4.6   0.9  10.0  159.1    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    8.3   2.8   0.0  121.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    9.5   3.0   3.0   87.7    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.6   5.4   0.0   30.7    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   14.2   8.3   0.0   60.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7    NaN   NaN   NaN   45.3    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.4  10.0   0.0   69.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.5   8.2   0.0   83.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.0   6.9   0.0   96.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11  11.3   7.0   0.0  113.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.9   3.0   4.0  156.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1995 1    6.5   NaN   NaN  158.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.4   2.3   2.0  122.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    7.1   1.3  11.0  133.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    NaN   4.1   1.0   49.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.8   6.4   1.0   74.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.4   8.5   0.0   42.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   18.5  11.3   0.0   86.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   20.0  12.0   0.0   25.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.9   9.0   0.0   96.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  14.0   8.6   0.0  175.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.9   NaN   NaN  155.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   5.2   1.5   8.0   85.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1996 1    6.6   3.5   4.0  159.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    5.7   NaN   NaN  120.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    6.3   2.0   5.0   61.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   10.6   4.7   1.0  128.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5    NaN   NaN   NaN   83.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.7   8.4   0.0   44.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.3  10.0   0.0   82.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.4  11.2   0.0   97.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.7   NaN   NaN   24.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  13.1   8.1   0.0  143.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   7.8   2.8   7.0  143.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.0   2.1   7.0   70.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1997 1    6.4   1.9   9.0   29.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    NaN   2.0   3.0  124.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3   10.0   4.2   3.0   71.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   11.1   4.7   2.0   51.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.5   6.2   0.0  101.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.0   NaN   NaN   90.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   18.1  10.9   0.0   68.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   19.2  12.2   0.0   69.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.2   9.2   0.0   61.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10   NaN   7.3   1.0   82.7    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11  10.3   6.1   0.0  178.3    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   8.2   3.9   3.0  159.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1998 1    7.2   2.4   7.0   98.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    9.9   5.4   1.0   62.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.2   4.2   3.0   90.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    8.8   3.5   4.0  136.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.2   6.7   0.0   75.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   14.4   7.9   0.0   79.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   15.0  10.2   0.0  136.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.0  10.2   0.0  112.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.2  10.2   0.0  106.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10   NaN   NaN   NaN  207.3    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   NaN   NaN   NaN  172.1    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   NaN   NaN   NaN  123.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                1999 1    6.4   2.0   7.0  148.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.1   2.8   4.0  103.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.0   3.2   3.0   57.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   10.6   4.8   5.0  119.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5    NaN   NaN   NaN   54.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   14.6   8.1   0.0   80.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   18.2  11.0   0.0   54.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.4  10.6   0.0   74.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   16.2  10.6   0.0  212.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  12.2   7.8   0.0   78.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.4   4.8   1.0  136.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.5   1.9   2.0  300.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2000 1    7.2   2.7   4.0   65.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.7   2.3   4.0  100.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.4   4.0   2.0   86.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    NaN   3.2   2.0  124.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.8   6.0   0.0   58.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6    NaN   NaN   NaN   55.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.6  10.8   0.0   25.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   17.5  10.6   0.0   99.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.4  10.1   0.0  159.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  11.6   6.2   0.0  186.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.2   3.4   1.0  182.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.0   3.2   8.0  189.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2001 1    NaN   1.5   7.0  100.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    NaN   NaN   NaN   94.7    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    7.0   1.4   7.0   59.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    8.9   3.2   1.0   64.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   15.1   7.2   0.0   41.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   14.7   8.1   0.0   81.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.6  10.5   0.0   51.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   17.2  10.8   0.0  113.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.6   9.8   0.0   72.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  14.0   9.4   0.0  148.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11  10.0   5.2   0.0  161.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.4   2.4   6.0  123.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2002 1    8.8   3.7   1.0  103.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.8   2.6   2.0  202.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.7   3.5   2.0   77.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   11.0   4.5   3.0   96.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.3   6.6   0.0  137.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.2   9.5   0.0  151.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   15.5  10.1   0.0   90.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   17.6  11.2   0.0   71.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.9   9.9   0.0   57.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  10.9   6.3   0.0  248.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.9   5.8   0.0  249.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.0   4.1   2.0  105.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2003 1    6.8   2.3   5.0  116.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    6.7   2.1   4.0   61.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3   10.8   3.3   3.0   34.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   12.0   5.6   0.0   43.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.9   6.7   0.0  111.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   16.9   9.9   0.0   52.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   18.3  12.3   0.0   57.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   18.5  11.7   0.0   25.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.8   9.8   0.0   68.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  11.0   6.3   0.0   73.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.8   5.2   0.0  168.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   7.8   3.4   4.0  108.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2004 1    7.0   2.9   3.0  144.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.5   2.2   6.0   54.5    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    8.9   3.1   3.0   89.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   10.8   5.3   0.0   96.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.2   6.7   0.0   50.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.9  10.1   0.0  139.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.4  10.3   0.0   63.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   17.4  12.2   0.0  118.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.4  10.3   0.0  103.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  11.1   6.2   0.0  171.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.6   6.4   2.0  109.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   8.6   3.5   2.0  128.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2005 1    8.1   3.5   3.0  120.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    NaN   NaN   NaN   67.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.5   4.7   2.0   69.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   11.2   4.6   1.0   99.9    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   12.7   5.5   0.0   86.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   16.1  10.5   0.0   62.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   17.0  11.0   0.0   34.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.9  11.0   0.0  103.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   16.0  10.6   0.0  107.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  13.5   8.8   0.0  159.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.3   3.7   4.0   77.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   8.1   4.0   0.0  143.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2006 1    7.3   2.7   5.0   67.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    7.4   2.2   5.0   47.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    7.4   2.0   6.0  169.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    9.7   3.7   2.0   94.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.0   6.6   0.0  114.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   16.6   9.8   0.0   62.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   19.9  11.9   0.0   64.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.3  11.4   0.0  102.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   16.8  11.0   0.0  115.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  13.9   9.0   0.0  176.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   9.3   4.5   0.0  183.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   8.0   3.3   2.0  157.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2007 1    8.3   3.5   2.0  143.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    8.1   3.1   4.0  150.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    9.2   2.9   2.0   91.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   13.3   6.3   0.0   23.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.7   6.4   0.0   89.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.8   9.8   0.0  160.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   16.3  10.1   0.0  122.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   15.7  11.1   0.0  111.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.7   9.7   0.0  112.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  14.0   8.6   0.0   83.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11  10.1   6.4   0.0  107.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   8.2   3.6   0.0  113.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2008 1    7.4   2.8   2.0  268.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    9.1   3.0   3.0   67.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    7.8   2.4   3.0  212.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4    9.9   4.0   0.0   58.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   15.4   8.0   0.0   25.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   15.7   8.7   0.0   81.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   17.0  11.3   0.0  145.2    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   16.8  11.8   0.0  313.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   14.9   9.3   0.0  186.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     10  11.2   5.7   0.0  184.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     11   8.6   4.4   2.0  104.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     12   6.9   1.5  10.0   83.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                2009 1    6.3   1.3   8.0  146.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     2    6.8   2.8   6.0   56.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     3    8.9   3.2   3.0   99.0    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     4   11.4   5.2   0.0  113.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     5   13.6   6.5   0.0  129.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     6   16.7   9.2   0.0   72.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     7   17.4  11.1   0.0  121.6    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     8   17.4  10.9   0.0  177.8    NaN  156.0  55.181000 -6.153000   317600E 438600N
                     9   15.2   9.7   0.0   55.4    NaN  156.0  55.181000 -6.153000   317600E 438600N
