lat,long,station,colour
50.21800000000001,-5.327,camborne,#440154
50.778999999999996,-1.8350000000000006,hurn,#440154
58.453999999999986,-3.0880000000000005,wickairport,#440154
50.91044655047599,-1.4039857676698901,southampton,#440154
51.479000000000006,-0.4489999999999999,heathrow,#440154
51.761,-1.2620000000000002,oxford,#440154
58.21399999999998,-6.317999999999999,stornoway,#440154
54.76800000000002,-1.5850000000000002,durham,#440154
57.00593274914949,-3.397798940460009,braemar,#440154
53.25199999999999,-4.534999999999999,valley,#440154
51.00599999999999,-2.6409999999999996,yeovilton,#440154
55.31100000000003,-3.206000000000001,eskdalemuir,#440154
56.451000000000015,-5.439,dunstaffnage,#440154
51.089,-4.146999999999999,chivenor,#440154
52.245,0.10200000000000002,cambridge,#440154

